POPS.ELF Function Map - PS1 Emulator for PS2 (HDD version)
==========================================================================================
Generated by POPS Deep Analysis Tool

ARCHITECTURE OVERVIEW:
  - EE (Emotion Engine) MIPS R5900 binary, EABI64, MIPS-III
  - Entry point: 0x00200008
  - Code: 296KB (.text), 3.5KB VU microcode (.vutext)
  - Data: 2.75MB (.data incl. embedded IOP modules)
  - PS1 emulator with JIT recompiler

EMBEDDED IOP MODULES:
  sio2man, padman_hsync, Sound_Device_Library (libsd),
  sdr_driver, dev9, atad, hdd, pfs, IOPCD


==========================================================================================
 CDROM - 41 functions (0x0020FD18 - 0x00213E50)
==========================================================================================

  0x0023C704  ee_kernel_0025                                frame=  32  size= 1676  calls= 0
  0x0023CD90  ee_kernel_0026                                frame=   0  size= 1408  calls= 0
  0x0023D310  ee_kernel_0027                                frame=  16  size= 1384  calls= 0
  0x0023D878  ee_kernel_0028                                frame=  32  size=  280  calls= 6
  0x0023D990  ee_kernel_0029                                frame=  16  size=  152  calls= 0
  0x0023DA28  ee_kernel_0030                                frame=  32  size=  184  calls= 1
  0x0023DAE0  ee_kernel_0031                                frame=  16  size=   56  calls= 0
  0x0023DB18  ee_kernel_0032                                frame=  48  size=   64  calls= 2
  0x0023DB58  ee_kernel_0033                                frame=   0  size=  608  calls= 0
  0x0023DDB8  ee_kernel_0034                                frame= 128  size=   88  calls= 3
  0x0023DE10  ee_kernel_0035                                frame= 128  size=  104  calls= 3
  0x0023DE78  ee_kernel_0036                                frame= 176  size=  648  calls= 3
  0x0023E100  ee_kernel_0037                                frame=  96  size=  320  calls= 2
  0x0023E240  ee_kernel_0038                                frame=  96  size=   80  calls= 2
  0x0023E290  ee_kernel_0039                                frame=  48  size=   48  calls= 1
  0x0023E2C0  ee_kernel_0040                                frame=  64  size=  160  calls= 1
  0x0023E360  ee_kernel_0041                                frame=   0  size=   72  calls= 0
  0x0023E3A8  ee_kernel_0042                                frame=   0  size=   88  calls= 0
  0x0023E400  ee_kernel_0043                                frame=  16  size=  248  calls= 0
  0x0023E4F8  ee_kernel_0044                                frame=  48  size= 1400  calls= 3
  0x0023EA70  ee_kernel_0045                                frame=  32  size=  104  calls= 2
  0x0023EAD8  ee_kernel_0046                                frame=  16  size=   48  calls= 1
  0x0023EB08  ee_kernel_0047                                frame=  32  size=  104  calls= 2
